Location,Clubname,League,Latitude,Longitude,Address,Facility_Type,Size
Albert College,Drumcondra F.C (Snr),Amateur Football League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Albert College,Glasnevin Afc,Amateur Football League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Beechill,Ballsbridge Fc,Amateur Football League,53.3175917,-6.2330531,"Beechill Ave (Beaver Row), Beech Hill Estate, Smotscourt, Pembroke East D Ed, Dublin 4, Dublin, County Dublin, Leinster, D04 Pv32, Ireland",Soccer,nan
Belcamp,Newtown Celtic,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Vianney Boys,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Priorswood F.C Seniors,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Whites F.C,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Urban Celtic,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Clonshaugh Sporting Suazee,Amateur Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Darndale,J.K. Celtic,Amateur Football League,53.4009603,-6.19403177988914,"Darndale, Priorswood C Ed, Dublin 17, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Donaghmede,Baldoyle O/35'S,Amateur Football League,53.3948612,-6.1635775,"Donaghmede, Grange C Ed, Dublin 13, Dublin, County Dublin, Leinster, Dublin 13, Ireland",Soccer,nan
John Paul,Faussaugh Utd. F.C,Amateur Football League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Kilmore,Shelbourne F.C,Amateur Football League,54.40024675,-6.55048274536792,"Kilmore, Armagh, County Armagh, Northern Ireland, Uk",Soccer,nan
Kilmore,Vianney Boys,Amateur Football League,54.40024675,-6.55048274536792,"Kilmore, Armagh, County Armagh, Northern Ireland, Uk",Soccer,nan
Markievicz,Our Lady Of Victories F.C.,Amateur Football League,53.3410089,-6.34005570272641,"Markievicz Park, Ballyfermot Lower, Decies Ed, Dublin 10, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Mount Olive,Kilmount Boys,Amateur Football League,0.0,0.0,0,Soccer,nan
Oscar Traynor,Kilmore Celtic,Amateur Football League,53.3977132,-6.2225083,"Oscar Traynor Road, Kilmore Big, Kilmore B Ed, Dublin 17, Dublin, County Dublin, Leinster, D17 A076, Ireland",Soccer,nan
Ringsend,St. Marks Athletic,Amateur Football League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Ringsend,Irishtown F.C.,Amateur Football League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
St. Annes,Vianney Boys,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Chanel Sports & Social Club,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Marino Athletic,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Kansas City Shufflers,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Smithfield F.C.,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Celtic Park Fc,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,St. Gabriels F.C.,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Bacchus F.C.,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Shelbourne Sports & Social Club,Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Walkinstown,Tracta F.C.,Amateur Football League,53.3216133,-6.3301177,"Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Fr. Collins,Wyteleaf United F.C.,Amateur Football League/Athletic Union League,0.0,0.0,0,Soccer,nan
Millbrook,Wyteleaf United F.C.,Amateur Football League/Athletic Union League,53.31905805,-6.23539135743444,"Millbrook, 29, Eglinton Road, Donnybrook East, Rathmines East B Ed, Dublin 4, Dublin, County Dublin, Leinster, D04 Pv32, Ireland",Soccer,nan
Albert College,Greenfield Park Boys F.C,Athletic Union League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Alfie Byrne,Eastwall Bessborough Utd.,Athletic Union League,53.361111,-6.2279928,"Alfie Byrne Road, Clontarf West, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Coultry,Shangan Athletic,Athletic Union League,53.4223167,-6.26304854422187,"Coultry, Airport Ed, Saint Margaret’S, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Darndale,Darndale Rovers,Athletic Union League,53.4009603,-6.19403177988914,"Darndale, Priorswood C Ed, Dublin 17, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Donaghmede,Cardonagh A.F.C,Athletic Union League,53.3948612,-6.1635775,"Donaghmede, Grange C Ed, Dublin 13, Dublin, County Dublin, Leinster, Dublin 13, Ireland",Soccer,nan
Farnham,Finglas South F.C.,Athletic Union League,53.3840936,-6.3003502,"Farnham Drive, Finglas East, Finglas South B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
Irishtown,Markievicz Celtic F.C.,Athletic Union League,53.5324945,-6.22615702070604,"Irishtown, Lusk Ed, Ballyboughal, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
John Paul,Broombridge Utd,Athletic Union League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Johnstown,Griffith Rovers F.C.,Athletic Union League,53.54157665,-6.22770962799422,"Johnstown, Lusk Ed, Ballyboughal, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Kildonan,W.F.T.A. F.C. Snr.,Athletic Union League,53.4040962,-6.3193021645909,"Kildonan, The Ward Ed, Saint Margaret’S, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Le Fanu,Musgrave F.C.,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Le Fanu,V.O.F.C,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Le Fanu,Ballyfermot Football Club,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Le Fanu,Clifden Celtic,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Le Fanu,Raheen Celtic,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Lein Road,Harmonstown F.C,Athletic Union League,53.3829908,-6.1889192,"Lein Road;Ribh Avenue, Ballyhoy, Harmonstown B Ed, Dublin 5, Dublin, County Dublin, Leinster, 3, Ireland",Soccer,nan
Markievicz,Landen Utd,Athletic Union League,53.3410089,-6.34005570272641,"Markievicz Park, Ballyfermot Lower, Decies Ed, Dublin 10, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Mellowes,Mckelvey Celtic,Athletic Union League,53.3898277,-6.3068943,"Mellowes Road, Cardiffscastle, Finglas North B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
Mellowes,Finglas Wanderers F.C,Athletic Union League,53.3898277,-6.3068943,"Mellowes Road, Cardiffscastle, Finglas North B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
Millbrook,Ayrfield United,Athletic Union League,53.31905805,-6.23539135743444,"Millbrook, 29, Eglinton Road, Donnybrook East, Rathmines East B Ed, Dublin 4, Dublin, County Dublin, Leinster, D04 Pv32, Ireland",Soccer,nan
Oscar Traynor,Shamrock Celtic F.C.,Athletic Union League,53.3977132,-6.2225083,"Oscar Traynor Road, Kilmore Big, Kilmore B Ed, Dublin 17, Dublin, County Dublin, Leinster, D17 A076, Ireland",Soccer,nan
Plunkett Avenue,Valley Park United,Athletic Union League,53.3981308,-6.3120612,"Plunkett Avenue, Cardiffscastle, Finglas North A Ed, Dublin 11, Dublin, County Dublin, Leinster, Dublin 11, Ireland",Soccer,nan
Poppintree,Buttercrust United,Athletic Union League,53.40234405,-6.28712461437514,"Poppintree (Finglas), Ballymun A Ed, Dublin 11, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Poppintree,Belclare Celtic,Athletic Union League,53.40234405,-6.28712461437514,"Poppintree (Finglas), Ballymun A Ed, Dublin 11, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Ringsend,Markievicz Celtic F.C.,Athletic Union League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Ringsend,Bridge United,Athletic Union League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
St. Annes,Donnycarney F.C,Athletic Union League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,O'Casey Celtic,Athletic Union League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Liberty House F.C.,Athletic Union League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,North Wall Y.C.,Athletic Union League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Walkinstown,Aungier Celtic F.C.,Athletic Union League,53.3216133,-6.3301177,"Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Coultry,Sandyhill Celtic,Athletic Union League/North Dublin Schoolboys League,53.4223167,-6.26304854422187,"Coultry, Airport Ed, Saint Margaret’S, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Naul,Sandyhill Celtic,Athletic Union League/North Dublin Schoolboys League,53.5850302,-6.2888697,"Hollywood Ed, Naul, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Johnstown,St. Patricks Phoenix,Athletic Union League/Amateur Football League,53.54157665,-6.22770962799422,"Johnstown, Lusk Ed, Ballyboughal, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Alfie Byrne,Sheriff Y.C.,Athletic Union League/Dublin District Schoolboys League,53.361111,-6.2279928,"Alfie Byrne Road, Clontarf West, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Fairview,Sheriff Y.C.,Athletic Union League/Dublin District Schoolboys League,53.3628457,-6.2366557,"Fairview, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Dc92, Ireland",Soccer,nan
John Paul,Hardwicke F.C.,Athletic Union League/ North Dublin Schoolboys League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Mc Auley,St. Brendans United,Athletic Union League/ North Dublin Schoolboys League,0.0,0.0,0,Soccer,nan
Albert College,Bohemian Schoolboys,Dublin District Schoolboys League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Albert College,Stella Maris,Dublin District Schoolboys League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Albert College,Homefarm F.C.,Dublin District Schoolboys League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Brickfields,Usher Boys,Dublin District Schoolboys League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Brickfields,Drimnagh Celtic,Dublin District Schoolboys League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Bunting Road,St. Patricks Athletic,Dublin District Schoolboys League,53.3201888,-6.3260332,"Bunting Road, Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Xf88, Ireland",Soccer,nan
Bushy,Rangers F.C.,Dublin District Schoolboys League,53.3021198,-6.29144609073588,"Bushy Park, Terenure, Terenure D Ed, Dublin 6W, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Bushy,Terenure F.C.,Dublin District Schoolboys League,53.3021198,-6.29144609073588,"Bushy Park, Terenure, Terenure D Ed, Dublin 6W, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Ellenfield,St. Kevins Boys Club,Dublin District Schoolboys League,53.3857502,-6.24044188934477,"Ellenfield Park, Clonturk, Whitehall D Ed, Dublin 9, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Fairview,Belvedere F.C.,Dublin District Schoolboys League,53.3628457,-6.2366557,"Fairview, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Dc92, Ireland",Soccer,nan
Farnham,Rivermount Boys F.C.,Dublin District Schoolboys League,53.3840936,-6.3003502,"Farnham Drive, Finglas East, Finglas South B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
Fr. Collins,Clare Hall Celtic,Dublin District Schoolboys League,0.0,0.0,0,Soccer,nan
John Paul,Dingle United,Dublin District Schoolboys League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
John Paul,Beggsboro Afc Schoolboys,Dublin District Schoolboys League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
John Paul,Beggsboro A.F.C,Dublin District Schoolboys League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Johnstown,Tolka Rovers F.C.,Dublin District Schoolboys League,53.54157665,-6.22770962799422,"Johnstown, Lusk Ed, Ballyboughal, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Kildonan,W.F.T.A. S/Boys F.C.,Dublin District Schoolboys League,53.4040962,-6.3193021645909,"Kildonan, The Ward Ed, Saint Margaret’S, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Le Fanu,Ballyfermot Utd,Dublin District Schoolboys League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Le Fanu,Cherry Orchard Fc,Dublin District Schoolboys League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Markievicz,Drumfinn Celtic F.C,Dublin District Schoolboys League,53.3410089,-6.34005570272641,"Markievicz Park, Ballyfermot Lower, Decies Ed, Dublin 10, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Martin Savage,Phoenix F.C,Dublin District Schoolboys League,53.3719591,-6.3322962,"Martin Savage Memorial Monument, L3031, Ashtown, Castleknock-Park Ed, Castleknock, Fingal, County Dublin, Leinster, D15 Xkp4, Ireland",Soccer,nan
Oscar Traynor,St. Kevins Boys Club,Dublin District Schoolboys League,53.3977132,-6.2225083,"Oscar Traynor Road, Kilmore Big, Kilmore B Ed, Dublin 17, Dublin, County Dublin, Leinster, D17 A076, Ireland",Soccer,nan
Ringsend,Pearse Rangers,Dublin District Schoolboys League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Ringsend,Cambridge Boys,Dublin District Schoolboys League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Ringsend,St. Patricks Cy Schoolboys,Dublin District Schoolboys League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Stannaway,St. Teresas F.C.,Dublin District Schoolboys League,53.32068665,-6.30068917285273,"Stannaway, Kimmage B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Streamville,Clare Hall Celtic,Dublin District Schoolboys League,53.2475659,-6.1202158,"Streamville Court, Ballybrack, Killiney South Ed, Shankill, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 X997, Ireland",Soccer,nan
Sundrive,Lourdes Celtic,Dublin District Schoolboys League,53.3210024,-6.2913036761306,"Sundrive Park, Tonguefield, Kimmage C Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Tolka Valley,Rivermount Boys F.C.,Dublin District Schoolboys League,53.3803639,-6.28746075915782,"Tolka, Ballygall A Ed, Dublin 11, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Walkinstown,St. Patricks Athletic,Dublin District Schoolboys League,53.3216133,-6.3301177,"Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
